startYear,primaryTitle
1896.0,1
1897.0,1
1898.0,7
1899.0,8
1900.0,6
1901.0,7
1902.0,4
1903.0,3
1904.0,2
1905.0,18
1906.0,23
1907.0,15
1908.0,23
1909.0,94
1910.0,110
1911.0,168
1912.0,353
1913.0,683
1914.0,1158
1915.0,1645
1916.0,2099
1917.0,2184
1918.0,2232
1919.0,2445
1920.0,2644
1921.0,2583
1922.0,2177
1923.0,1911
1924.0,1923
1925.0,2064
1926.0,2043
1927.0,2160
1928.0,2135
1929.0,2017
1930.0,1979
1931.0,2052
1932.0,2078
1933.0,2000
1934.0,1919
1935.0,1947
1936.0,2230
1937.0,2124
1938.0,1980
1939.0,1869
1940.0,1759
1941.0,1532
1942.0,1465
1943.0,1330
1944.0,1166
1945.0,1119
1946.0,1310
1947.0,1502
1948.0,1627
1949.0,1777
1950.0,1912
1951.0,1878
1952.0,2024
1953.0,2060
1954.0,2087
1955.0,2155
1956.0,2344
1957.0,2440
1958.0,2504
1959.0,2530
1960.0,2653
1961.0,2706
1962.0,2694
1963.0,2628
1964.0,2848
1965.0,3158
1966.0,3200
1967.0,3257
1968.0,3688
1969.0,3805
1970.0,4062
1971.0,4069
1972.0,3962
1973.0,3870
1974.0,3758
1975.0,3994
1976.0,3874
1977.0,3823
1978.0,3937
1979.0,4085
1980.0,4038
1981.0,4044
1982.0,4018
1983.0,4163
1984.0,4354
1985.0,4428
1986.0,4326
1987.0,4356
1988.0,4494
1989.0,4513
1990.0,4774
1991.0,4360
1992.0,4299
1993.0,4172
1994.0,4086
1995.0,4256
1996.0,4260
1997.0,4529
1998.0,4667
1999.0,4835
2000.0,5032
2001.0,5358
2002.0,5623
2003.0,5823
2004.0,6385
2005.0,7315
2006.0,7806
2007.0,8525
2008.0,9951
2009.0,11396
2010.0,12181
2011.0,13133
2012.0,14069
2013.0,14739
2014.0,15821
2015.0,16368
2016.0,17535
2017.0,17878
2018.0,17687
2019.0,17000
2020.0,14478
2021.0,9482
2022.0,1620
2023.0,183
2024.0,32
2025.0,8
2026.0,3
2027.0,4
2028.0,3
