Edad,Nivel_Educativo,Hs_Trabaja,masDe50K
36,13,55,1
29,13,50,1
34,11,32,1
33,13,25,1
30,10,45,0
23,13,40,1
46,10,40,1
34,13,50,1
21,10,30,0
20,10,40,0
62,9,72,1
19,9,40,0
50,9,40,1
52,14,32,1
60,10,40,1
24,10,54,0
43,6,40,0
73,6,10,0
39,9,16,0
20,9,30,0
48,13,58,1 
50,9,30,0
52,9,50,1
22,9,33,0
57,13,40,1
57,9,50,1
59,9,40,1
19,9,40,0
67,15,10,1
33,16,40,1
30,10,65,0
37,14,50,1
19,10,40,0
41,13,40,1
43,10,40,1
22,11,20,0
59,6,40,0
34,13,45,1
26,10,40,0
29,9,40,0
45,10,40,1
54,10,18,1
36,6,40,0
29,9,32,0
35,11,40,1
43,14,45,1
53,10,60,1
48,13,50,1
49,9,40,1
44,14,40,1
24,6,40,0
38,11,36,1
21,9,40,0
19,10,15,0
39,9,40,0
45,7,40,0
43,10,60,1
50,13,45,1
31,13,55,1
33,9,38,0
45,9,60,1
22,6,30,0
38,13,70,1
30,11,40,1
30,9,40,0
24,9,40,0
46,12,40,1
45,14,40,1
52,9,60,1
31,10,40,0
46,9,40,0
62,10,39,1
57,13,80,1
39,15,47,1
48,12,50,1
17,6,20,0
39,13,40,1
50,9,40,1
25,10,20,0
61,10,44,1
53,9,48,1
45,7,42,0
44,15,55,1
45,10,40,1
32,13,40,1
50,15,50,1
50,13,50,1
40,9,35,0
55,9,40,1
27,10,48,0
38,9,40,0
46,10,50,1
30,10,60,0
50,15,50,1
32,10,40,0
45,10,40,1
45,10,40,1
31,9,40,0
47,15,50,1
26,9,38,0
75,6,1,0
30,13,50,1
47,12,40,1
35,9,60,0
31,9,40,0
29,13,40,1
51,10,40,1
30,9,30,0
59,4,40,0
30,13,50,1
34,8,40,0
58,14,40,1
36,9,40,0
30,13,50,1
29,9,40,0
30,9,40,0
18,9,40,0
36,12,40,1
44,11,48,1
49,14,50,1
28,14,50,1
47,13,60,1
47,10,40,1
25,10,40,0
58,9,60,1
51,13,50,1
29,10,36,0
38,13,40,1
42,12,45,1
31,9,18,0
41,13,30,1
53,14,40,1
44,12,56,1
47,4,40,0
50,9,40,1
19,9,30,0
48,6,48,0
72,15,40,1
31,9,40,0
62,10,40,1
44,15,50,1
59,11,50,1
36,13,40,1
38,14,40,1
60,9,50,1
45,13,38,1
34,12,25,1
59,13,40,1
28,9,35,0
41,7,40,0
52,16,70,1
32,14,60,1
45,14,45,1
52,13,40,1
17,8,18,0
50,14,55,1
30,10,40,0
32,10,40,0
58,12,40,1
32,7,40,0
41,10,60,1
20,9,20,0
50,9,40,1
19,10,18,0
26,10,60,0
33,9,40,0
52,9,40,1
55,10,40,1
24,9,45,0
38,13,40,1
34,9,40,0
23,10,40,0
41,11,44,1
34,4,10,0
61,10,40,1
53,14,35,1
37,9,35,0
66,13,40,1
54,13,40,1
32,13,60,1
18,7,18,0
57,9,40,1
22,10,35,0
57,13,50,1
40,15,40,1
50,14,50,1
54,9,60,1
39,13,50,1
38,13,45,1
61,14,45,1
36,9,50,0
38,10,40,0
20,10,40,0
43,15,50,1
71,14,40,1
33,9,40,0
31,16,50,1
24,10,40,0
24,11,40,0
54,14,45,1
27,9,38,0
30,13,42,1
44,6,60,0
46,11,60,1
21,10,20,0
38,9,56,0
30,13,45,1
21,9,38,0
37,11,54,1
35,10,40,0
49,14,45,1
39,12,25,1
40,14,50,1
46,9,96,1
47,7,8,0
23,10,40,0
36,15,50,1
44,15,40,1
50,10,40,1
46,15,40,1
50,10,40,1
48,14,40,1
38,9,40,0
32,10,45,0
28,4,40,0
29,9,48,0
37,9,30,0
48,15,50,1
20,10,28,0
27,10,40,0
36,10,60,1
28,7,50,0
18,10,15,0
49,9,40,1
53,14,70,1
37,11,50,1
37,13,40,1
27,7,42,0
36,13,40,1
47,9,56,1
25,7,40,0
49,10,50,1
46,9,40,0
34,9,40,0
45,13,55,1
54,9,40,1
37,10,45,0
32,9,50,0
44,9,60,1
32,13,70,1
39,15,40,1
43,14,40,1
32,13,40,1
58,14,30,1
46,9,37,0
43,13,50,1
46,15,40,1
27,9,60,0
20,10,30,0
32,13,50,1
22,11,40,0
50,12,40,1
41,16,50,1
29,9,40,0
40,14,50,1
40,14,40,1
39,13,50,1
57,14,40,1
29,5,40,0
38,13,28,1
43,14,40,1
32,9,35,0
60,11,46,1
47,13,45,1
29,12,40,1
53,11,40,1
42,14,50,1
45,15,43,1
58,10,40,1
17,7,16,0
41,14,40,1
49,13,50,1
55,9,72,1
33,10,40,0
22,10,50,0
20,10,30,0
41,14,40,1
39,12,40,1
32,9,40,0
30,10,40,0
33,4,40,0
42,14,40,1
23,10,20,0
26,9,45,0
56,9,60,1
19,7,40,0
30,13,40,1
26,10,40,0
24,10,53,0
29,9,40,0
54,9,52,1
18,10,20,0
45,14,50,1
30,9,36,0
52,9,60,1
47,15,45,1
30,9,41,0
32,11,60,1
21,10,10,0
28,13,50,1
18,7,6,0
31,9,40,0
22,9,28,0
44,14,60,1
63,10,40,1
43,13,45,1
46,10,50,1
